All,Összes
"Lifetime Sales","Élettartam eladások"
"Average Order",Átlagrendelés
Average,Átlagos
Views,Megtekintések
Revenue,Bevétel
Tax,Adó
Shipping,Szállítás
"Images (.gif, .jpg, .png)","Képek (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"All Files","Minden fájl"
"Reset to Default","Visszaállítás alaphelyzetbe"
"All Store Views","Minden webáruház nézet"
"What is this?","Mi ez?"
"Save Account","Fiók mentése"
"My Account","Saját fiók"
"Account Information",Fiókadatok
"User Name","Felhasználói név"
"First Name",Keresztnév
"Last Name",Vezetéknév
Email,E-mail
"User Email","Felhasználó e-mailcíme"
"New Password","Új jelszó"
"Password Confirmation","Jelszó megerősítése"
"Interface Locale","Kezelőfelület nyelve"
"Current User Identity Verification","Aktuális felhasználói identitás ellenőrzése"
"Your Password","Az Ön jelszava"
"Save Cache Settings","Gyorsítótár-beállítások mentése"
"Catalog Rewrites",Katalógus-átírások
Refresh,Frissítés
"Images Cache",Képek-gyorsítótár
Clear,Törlés
"Search Index",Keresőindex
Rebuild,Újraépítés
"Inventory Stock Status",Készletállapot
"Rebuild Catalog Index","Katalógusindex újraépítése"
"Rebuild Flat Catalog Category","Sima katalógus kategóriáinak újraépítése"
"Rebuild Flat Catalog Product","Sima katalógus termékeinek újraépítése"
"Cache Control",Gyorsítótár-kezelés
"All Cache","Összes gyorsítótár"
"No change","Nincs változás"
Disable,Letiltás
Enable,Bekapcsolás
"Add Design Change","Dizájnmódosítás hozzáadása"
Delete,Törlés
Save,Mentés
"Edit Design Change","Dizájnmódosítás szerkesztése"
"New Store Design Change","Új dizájnváltoztatás"
"General Settings","Általános beállítások"
"-- Please Select --","-- Kérem válasszon --"
"Custom Design","Egyedi dizájn"
"Date From",Dátumtól
"Date To",Dátumig
"Design Change",Dizájnmódosítás
General,Általános
"Delete %1 '%2'","Törölje %1 ""%2"""
"Delete %1","%1 törlése"
"Block Information","Blokk információi"
"Backup Options","Biztonsági mentés opciói"
"Create DB Backup","Adatbázis-mentés létrehozása"
"Delete Store","Bolt törlése"
"Delete Web Site","Honlap törlésére"
"Save Web Site","Weboldal mentése"
"Save Store","Bolt mentése"
"Save Store View","Boltnézet mentése"
"Delete Store View","Boltnézet törlése"
"Edit Web Site","Honlap módosítása"
"New Web Site","Új honlap"
"Edit Store","Bolt szerkesztése"
"New Store","Új bolt"
"Edit Store View","Boltnézet szerkesztése"
"New Store View","Új boltnézet"
"Store Information",Boltinformációk
"Web Site",Weboldal
Name,Név
Code,Kód
"Root Category",Főkategória
"Default Store View","Alapértelmezett boltnézet"
"Store View Information","Boltnézet információi"
Disabled,Tiltott
"Web Site Information",Honlap-információk
"Default Store","Alapértelmezett bolt"
"Set as Default","Beállítás alapértelmezettként"
Stores,Boltok
"Create Website","Honlap létrehozása"
"Create Store","Bolt létrehozása"
"Create Store View","Boltnézet létrehozása"
Home,Kezdőlap
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
label,címke
"Add New Image","Új kép hozzáadása"
"Export block for grid %1 is not defined","Nincs meghatározva export tömb a(z) %1 rácshoz"
"Reset Filter","Szűrő visszaállítása"
Search,Keresés
Any,Bármely
"All Countries","Összes ország"
From,Ettől
To,Eddig
"Date selector",Dátumválasztó
"[ deleted ]","[ törölve ]"
"Select All","Összes kijelölése"
"Add New","Új hozzáadása"
"Invalid export type supplied for grid export block","Érvénytelen export típus a Grid Export Block-hoz"
Export,Exportálás
"Please correct the column format and try again.","Kérjük, javítsa az oszlop formátumát, majd próbálja újra!"
"An item needs to be selected. Select and try again.","Egy elemet ki kell választani. Jelölje ki, majd próbálkozzon újra."
Submit,Beküldés
"Unknown block type","Ismeretlen blokktípus"
"Please correct the tab configuration and try again. Tab Id should be not empty","Kérjük, javítsa a lapfül konfigurációt, és próbálja újra! A lapfül-azonosító nem lehet üres"
"Please correct the tab configuration and try again.","Kérjük, javítsa a lapfül beállításait, és próbálja újra!"
"You have logged out.","Ön kijelentkezett."
"These cache type(s) don't exist: %1","Ezek a gyorsítótár-típus(ok) nem léteznek: %1"
"The image cache was cleaned.","Kép-gyorsítótár kiürítve."
"An error occurred while clearing the image cache.","Hiba történt a kép-gyorsítótár ürítése során!"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS-gyorsítótár kiürítve."
"An error occurred while clearing the JavaScript/CSS cache.","Hiba történt a JavaScript/CSS-gyorsítótár kiürítése során!"
"The static files cache has been cleaned.","A statikus fájlok gyorsítótára kiürítve."
"You flushed the cache storage.","Ön kiürítette a gyorsítótárat."
"The Magento cache storage has been flushed.","A Magento-gyorsítótár kiürítve."
"Cache Management",Gyorsítótár-kezelő
"You can't change status of cache type(s) in production mode","Nem módosíthatja a gyorsítótár-típus(ok) állapotát fejlesztői módban"
"%1 cache type(s) disabled.","%1 gyorsítótár típus letiltva."
"An error occurred while disabling cache.","Hiba történt a gyorsítótár letiltása során."
"%1 cache type(s) enabled.","%1 gyorsítótár-típus engedélyezve."
"An error occurred while enabling cache.","Hiba történt a gyorsítótár engedélyezése során."
"%1 cache type(s) refreshed.","%1 gyorsítótár frissítve."
"An error occurred while refreshing cache.","Hiba történt a gyorsítótár frissítése során."
Dashboard,Vezérlőpult
"We updated lifetime statistic.","Frissítettük az élettartam-statisztikát."
"We can't refresh lifetime statistics.","A teljes élettartamra vonatkozó statisztikákat nem tudjuk frissíteni."
"invalid request","érvénytelen kérés"
"see error log for details","részletek a hibanaplóban"
"Service unavailable: %1","Nem elérhető szolgáltatás: %1"
"Access Denied.","Hozzáférés megtagadva!"
"You need more permissions to do this.","További jogosultságokra van szüksége."
"No search modules were registered","Nincs keresőmodul regisztrálva"
"Please make sure that all global admin search modules are installed and activated.","Kérjük, győződjön meg róla, hogy az általános adminisztrációs keresőmodulok mindegyikét telepítette és aktiválta!"
"You saved the account.","Ön elmentette a fiókot."
"An error occurred while saving account.","Hiba történt a fiók mentése során!"
"You deleted the design change.","Törölte a dizájnmódosítást."
"You can't delete the design change.","A dizájnmódosítás nem törölhető."
"Store Design",Boltdizájn
"Edit Store Design Change","Dizájnmódosítás szerkesztése"
"You saved the design change.","Dizájnmódosítás elmentve."
System,Rendszer
"Manage Stores","Boltok kezelése"
"The database was backed up.","Az adatbázis elmentve."
"We can't create a backup right now. Please try again later.","Jelenleg nem tudunk mentést készíteni. Kérjük később próbálkozzon újra."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","%1 törlésével %1 kapcsolódó információi (pl. kategóriák, termékek stb.) nem kerülnek törlésre, de %1 nem állítható majd helyre. Javasoljuk, hogy %1 törlése előtt készítsen biztonsági mentést az adatbázisról."
"Something went wrong. Please try again.","Hiba történt! Kérjük, próbálja meg újra!"
"This store cannot be deleted.","E bolt nem törölhető."
"You deleted the store.","Ön törölte a boltot."
"Unable to delete the store. Please try again later.","A bolt nem törölhető. Kérjük, próbálja meg később újra!"
"This store view cannot be deleted.","E boltnézet nem törölhető."
"Store View","Bolt nézet"
"You deleted the store view.","Boltnézet törölve."
"Unable to delete the store view. Please try again later.","A boltnézet nem törölhető. Kérjük, próbálja meg később újra!"
"This website cannot be deleted.","E weboldal nem törölhető."
"You deleted the website.","Törölte a honlapot."
"Unable to delete the website. Please try again later.","A honlap nem törölhető. Kérjük, próbálja meg később újra!"
"The website does not exist.","A honlap nem létezik."
"Before modifying the website code please make sure it is not used in index.php.","A honlapkód módosítása előtt győződjön meg róla, hogy az nem szerepel az index.php-ben!"
"The store does not exist","A bolt nem létezik"
"Store view doesn't exist","A boltnézet nem létezik"
"Before modifying the store view code please make sure it is not used in index.php.","A boltnézet kódjának módosítása előtt győződjön meg róla, hogy az nem szerepel az index.php-ben!"
"New ","Új "
"All Stores","Minden bolt"
"Please enable your Store View before using this Web Site as Default","Kérjük, engedélyezze a bolt nézetét, mielőtt alapértelmezettként használná ezt a weboldalt"
"You saved the website.","Honlap elmentve."
"The default store cannot be disabled","Az alapértelmezett boltot nem tiltható le"
"You saved the store view.","Boltnézet elmentve."
"An inactive store view cannot be saved as default store view","Egy inaktív boltnézetet nem lehet alapértelmezettként beállítani"
"You saved the store.","Bolt elmentve."
"Something went wrong while saving. Please review the error log.","Hiba történt a mentés során! Részletek a hibanaplóban."
"Authentication storage is incorrect.","Érvénytelen hitelesítés-tároló."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","A bejelentkezés a fiókjába hibás volt, vagy fiókja ideiglenesen le van tiltva. Várjon, majd később próbálja meg újra."
"An authentication error occurred. Verify and try again.","Hitelesítési hiba történt. Ellenőrizze és próbálja újra."
"The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.","A rendszergazda munkamenet élettartama érvénytelen. Állítsa az élettartamot 31536000 másodpercre (egy év) vagy kevesebbre, és próbálja újra."
"The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.","A rendszergazda munkamenet élettartama érvénytelen. Állítsa az élettartamot 60 másodpercre vagy többre, és próbálja újra."
"Last 24 Hours","Az elmúlt 24 óra"
"Last 7 Days","Az utolsó 7 nap"
"Current Month","Az aktuális hónap"
YTD,"Folyó év"
2YTD,"Az utolsó két év"
Order,Rendelés
"Order #%1","Megrendelés #%1"
"URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key.","A(z) ""%1"" URL kulcs egyezik egy foglalt végpont névvel (%2). Használjon másik URL kulcsot."
"Save &amp; Continue","Mentés és folytatás"
"Save &amp; Close","Mentés és bezárás"
"Save &amp; New","Mentés és új"
"Sorry, you need permissions to view this content.","Sajnáljuk, jogosultságra van szüksége ennek a tartalomnak a megtekintéséhez."
"Next steps","Következő lépések"
"If you think this is an error, try signing out and signing in again.","Ha úgy gondolja, ez egy egy hiba, jelentkezzen ki majd jelentkezzen be újra."
"Contact a system administrator or store owner to gain permissions.","Lépjen kapcsolatba a rendszergazdával vagy a bolt tulajdonosával hogy jogosultságokat szerezzen."
"Return to ","Vissza a(z) "
"previous page","előző oldal"
"Welcome, please sign in","Üdvözöljük! Kérjük, jelentkezzen be!"
Username,Felhasználónév
"user name",felhasználónév
Password,Jelszó
